tracer_name,tracer_label,sample_id,run_display,selection_mode,roi_folder,roi_prefix,dx_mm,metric_key,metric_label,window_name,window_min_time_min,window_max_time_min,n_points,center_mean,center_std,fixed_std_mean,combined_std_mean,fixed_ci_width_mean,combined_ci_width_mean
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.00042186333057179354,8.030815285729367e-05,1.027688011108919e-05,9.745761638989586e-05,4.028537003547214e-05,0.00038203385624844096
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",post_5min,5.0,,61,51.85015424011728,1.48024197824441,0.4613926638060965,7.431224758904989,1.8086592421198984,29.13040105490755
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,61,13.024904955081425,1.8786398062923162,0.08903308296208977,2.9738787646358604,0.349009685211392,11.657604757372575
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,post_5min,5.0,,61,0.00762627502479106,0.0013219978450186686,,,,
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,profile_fit_r2,Profile-fit $R^2$,post_5min,5.0,,61,0.9992849727214056,0.00014528232752753336,,,,
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,profile_fit_rmse,Profile-fit RMSE (mg/mL),post_5min,5.0,,61,0.42938585539859764,0.05757319500252711,,,,
VIS320,VIS 320,VIS320_02,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_2,analysis_config,VIS_320,VIS_320,0.166,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.00042186301613668527,8.030636072039995e-05,,,,
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.00037449389146218683,5.960870440093562e-05,7.587808534259317e-06,8.595347739536796e-05,2.97442094542918e-05,0.0003369376313898853
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,fitted_Cs,"Effective fitted boundary concentration, C$_s$ (mg/mL)",post_5min,5.0,,61,49.54328102154145,2.1722655614409976,0.3604863978913352,7.852869625883375,1.4131066797340333,30.78324893346283
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,mean_concentration,Mean concentration (mg/mL),post_5min,5.0,,61,11.194737521782246,1.8847412032561002,0.07387156464987708,2.7350210431286595,0.2895765334275183,10.72128248906434
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,mean_diffusive_flux_magnitude,Mean $|J_{diff}|$,post_5min,5.0,,61,0.006210853650255219,0.0007972334116775753,,,,
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,profile_fit_r2,Profile-fit $R^2$,post_5min,5.0,,61,0.999576494069506,0.00019236548159578664,,,,
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,profile_fit_rmse,Profile-fit RMSE (mg/mL),post_5min,5.0,,61,0.3074641376241862,0.09211736407432353,,,,
VIS320,VIS 320,VIS320_03,C:\Users\brend\OneDrive - University of Toronto\Paper_1_Results\Diffusion_Only_Results\VIS320_Run_3,analysis_config,VIS_320,VIS_320,0.166,regularized_effective_diffusivity,Temporally regularized effective diffusivity (mm$^2$/s),post_5min,5.0,,61,0.00037449425183497373,5.960878611479466e-05,,,,
