tracer_name,tracer_label,metric_key,metric_label,time_min,sample_count_total,sample_count_at_time,center_mean,between_sample_sd,between_sample_sem,fixed_std_mean,fixed_ci_low_mean,fixed_ci_high_mean,combined_std_mean,combined_ci_low_mean,combined_ci_high_mean
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),11.666666666666657,3,3,0.0004081072981430036,2.1108071464736854e-05,1.2186750742239681e-05,1.0764692357373196e-05,0.00038700850112254704,0.0004292060951634602,9.489838001831265e-05,0.00022210647330703684,0.0005941081229789703
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),11.833333333333323,3,3,0.0004057094343099701,2.421370250065026e-05,1.3979787656827942e-05,1.041448718969989e-05,0.0003852970394181467,0.00042612182920177686,9.380545812147924e-05,0.00022185073639179333,0.0005895681322281469
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),11.99999999999999,3,3,0.0004041608210953367,2.7935345006182314e-05,1.6128478959224426e-05,9.878819044906226e-06,0.0003847983357672967,0.00042352330642334344,9.303677883224592e-05,0.00022180873458406002,0.0005865129076066135
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.166666666666655,3,3,0.00040341165918660006,2.6725994698028764e-05,1.543026023326742e-05,9.603507644008933e-06,0.0003845887842043201,0.0004222345341688568,9.209694412910131e-05,0.00022290164869351322,0.0005839216696796637
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.333333333333321,3,3,0.0004022449480468834,2.5578440320602575e-05,1.4767719404550675e-05,9.154032379521298e-06,0.00038430304458300337,0.00042018685151074014,9.086779907181769e-05,0.00022414406186609657,0.0005803458342276137
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.49999999999999,3,3,0.00039896308931075016,2.4345381244322602e-05,1.405581241493372e-05,9.241421990306538e-06,0.0003808499022097368,0.00041707627641174343,8.969147461886636e-05,0.00022316779905777665,0.0005747583795637136
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.666666666666655,3,3,0.0003969715994522668,2.3737064575870184e-05,1.3704600622650182e-05,9.664000855764266e-06,0.00037803015777497013,0.0004159130411295767,8.870625907210841e-05,0.00022310733167097666,0.0005708358672336136
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.833333333333321,3,3,0.0003965304302648068,2.4784574566444426e-05,1.4309380797687041e-05,1.004365861720812e-05,0.0003768448593750769,0.00041621600115453004,8.846410845950284e-05,0.00022314077768419017,0.0005699200828454235
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),12.99999999999999,3,3,0.0003947003294676068,2.5341643006299973e-05,1.4631004411394687e-05,1.0585074259231401e-05,0.0003739535839194935,0.00041544707501566344,8.855033504303743e-05,0.00022114167278322345,0.0005682589861519234
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.166666666666655,3,3,0.00039253061995285667,2.4162037138691895e-05,1.39499586461935e-05,1.0623434157160196e-05,0.0003717086890048133,0.0004133525509008667,8.845302873540669e-05,0.00021916268363145663,0.0005658985562742301
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.333333333333321,3,3,0.0003922002358460567,2.409696949441772e-05,1.3912391824256271e-05,1.0189322227679408e-05,0.0003722291642798133,0.0004121713074123001,8.800377334902596e-05,0.00021971284008198995,0.0005646876316101468
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.499999999999988,3,3,0.00039169713559491034,2.533673688629035e-05,1.4628171861686454e-05,9.767083937206982e-06,0.0003725536510779935,0.00041084062011182695,8.638745475163287e-05,0.00022237772428171333,0.0005610165469081106
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.666666666666654,3,3,0.00038824598694049364,2.5602356711325933e-05,1.478152753917285e-05,9.473178665770889e-06,0.0003696785567555935,0.00040681341712539364,8.458076448250868e-05,0.00022246768855474668,0.000554024285326194
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.833333333333321,3,3,0.00038374234027114016,2.5134576223795723e-05,1.4511454348775629e-05,9.577782210386319e-06,0.0003649698871387869,0.0004025147934034867,8.431161196072262e-05,0.00021849158082809018,0.0005489930997141234
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),13.999999999999988,3,3,0.00038163713213255684,2.5232379375895843e-05,1.4567921024968226e-05,1.003533084460334e-05,0.0003619678836771202,0.00040130638058797014,8.452254232298852e-05,0.00021597294917947353,0.0005473013150855734
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),14.166666666666654,3,3,0.0003817370016466301,2.3030331384430128e-05,1.3296568024327022e-05,1.0159335726856079e-05,0.00036182470362198333,0.00040164929967127344,8.363519076616261e-05,0.00021781202774494315,0.0005456619755482803
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),14.333333333333321,3,3,0.0003812775881536134,2.0606529154415163e-05,1.1897185154365465e-05,9.76991718278823e-06,0.0003621285504753666,0.0004004266258319067,8.230151020325917e-05,0.00021996662815524317,0.0005425885481519969
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),14.499999999999988,3,3,0.00038076390427307,2.202069052816263e-05,1.2713651604176137e-05,9.647897908255665e-06,0.0003618540243729167,0.0003996737841732733,8.187798906888489e-05,0.00022028304569808336,0.0005412447628481001
VIS320,VIS 320,effective_diffusivity,Fitted effective diffusivity (mm$^2$/s),14.666666666666654,3,3,0.00038036423951308667,2.3492089710057357e-05,1.3563164317928454e-05,9.808385506347722e-06,0.00036113980392066676,0.00039958867510554003,8.181225733720845e-05,0.00022001221513218337,0.0005407162638940334
